timestamp, utilization.gpu [%], memory.used [MiB]
2026/07/26 00:23:20.651, 0 %, 6865 MiB
2026/07/26 00:23:21.656, 0 %, 6865 MiB
2026/07/26 00:23:22.657, 0 %, 6865 MiB
2026/07/26 00:23:23.659, 0 %, 6865 MiB
2026/07/26 00:23:24.660, 0 %, 6865 MiB
2026/07/26 00:23:25.660, 0 %, 6865 MiB
2026/07/26 00:23:26.661, 0 %, 6865 MiB
2026/07/26 00:23:27.661, 0 %, 6865 MiB
2026/07/26 00:23:28.661, 0 %, 6865 MiB
2026/07/26 00:23:29.661, 0 %, 6865 MiB
2026/07/26 00:23:30.662, 0 %, 6865 MiB
2026/07/26 00:23:31.662, 0 %, 6865 MiB
2026/07/26 00:23:32.662, 0 %, 6865 MiB
2026/07/26 00:23:33.662, 0 %, 6865 MiB
2026/07/26 00:23:34.663, 0 %, 6865 MiB
2026/07/26 00:23:35.663, 0 %, 6865 MiB
2026/07/26 00:23:36.663, 0 %, 6865 MiB
2026/07/26 00:23:37.664, 0 %, 6865 MiB
2026/07/26 00:23:38.664, 0 %, 6865 MiB
2026/07/26 00:23:39.664, 0 %, 6865 MiB
2026/07/26 00:23:40.665, 0 %, 6865 MiB
2026/07/26 00:23:41.665, 0 %, 6865 MiB
2026/07/26 00:23:42.665, 0 %, 6865 MiB
2026/07/26 00:23:43.665, 0 %, 6865 MiB
2026/07/26 00:23:44.666, 0 %, 6865 MiB
2026/07/26 00:23:45.666, 0 %, 6865 MiB
2026/07/26 00:23:46.666, 0 %, 6865 MiB
2026/07/26 00:23:47.667, 0 %, 6865 MiB
2026/07/26 00:23:48.667, 0 %, 6865 MiB
2026/07/26 00:23:49.667, 0 %, 6865 MiB
2026/07/26 00:23:50.668, 0 %, 6865 MiB
2026/07/26 00:23:51.668, 0 %, 6865 MiB
2026/07/26 00:23:52.668, 0 %, 6865 MiB
2026/07/26 00:23:53.669, 0 %, 6865 MiB
2026/07/26 00:23:54.669, 0 %, 6865 MiB
2026/07/26 00:23:55.669, 0 %, 6865 MiB
2026/07/26 00:23:56.669, 0 %, 6865 MiB
2026/07/26 00:23:57.670, 0 %, 6865 MiB
2026/07/26 00:23:58.670, 0 %, 6865 MiB
2026/07/26 00:23:59.670, 0 %, 6865 MiB
2026/07/26 00:24:00.670, 0 %, 6865 MiB
2026/07/26 00:24:01.671, 0 %, 6865 MiB
2026/07/26 00:24:02.671, 0 %, 6865 MiB
2026/07/26 00:24:03.671, 0 %, 6865 MiB
2026/07/26 00:24:04.671, 0 %, 6865 MiB
2026/07/26 00:24:05.672, 0 %, 6865 MiB
2026/07/26 00:24:06.672, 0 %, 6865 MiB
2026/07/26 00:24:07.672, 0 %, 6865 MiB
2026/07/26 00:24:08.672, 0 %, 6865 MiB
2026/07/26 00:24:09.673, 0 %, 6865 MiB
2026/07/26 00:24:10.673, 0 %, 6865 MiB
2026/07/26 00:24:11.673, 0 %, 6865 MiB
2026/07/26 00:24:12.674, 0 %, 6865 MiB
2026/07/26 00:24:13.674, 0 %, 6865 MiB
2026/07/26 00:24:14.703, 0 %, 6865 MiB
2026/07/26 00:24:15.742, 0 %, 6865 MiB
2026/07/26 00:24:16.777, 0 %, 6865 MiB
2026/07/26 00:24:17.806, 0 %, 6865 MiB
2026/07/26 00:24:18.833, 0 %, 6865 MiB
2026/07/26 00:24:19.856, 0 %, 6865 MiB
2026/07/26 00:24:20.877, 0 %, 6865 MiB
